Batch_Number,SKU_ID,NDC_Code,Drug_Name,Therapeutic_Category,Route_Of_Administration,Dosage_Form,Packaging_Type,Supplier_ID,Supplier_Name,Country_Of_Origin,Purchase_Order_Ref,Quantity_Procured,Unit_Procurement_Cost_USD,Freight_Cost_Per_Unit_USD,Import_Tariff_Rate,Total_Procurement_Cost_USD,Unit_Selling_Price_USD,Maximum_Retail_Price_USD,Discount_Applied_Percent,Quantity_Sold,Total_Sales_Revenue_USD,Gross_Profit_USD,Sales_Channel,Payment_Method,Quantity_Remaining,Reorder_Level,Safety_Stock_Level,Stockout_Occurred,Manufacture_Date,Procurement_Date,Expiry_Date,Shelf_Life_Total_Days,Storage_Condition,Storage_Temperature_Min_C,Storage_Temperature_Max_C,Humidity_Sensitive,Prescription_Required,Controlled_Substance_Class,Quality_Control_Passed,Inspector_ID,Warehouse_Zone,Aisle_Rack_Number,Bin_Location_Code,Handling_Special_Notes,Quantity_Wasted,Wastage_Reason,Wastage_Financial_Loss_USD,Disposal_Method,Disposal_Approval_Status
BAT-2026-67154,SKU-617781,459-3419-40,Lorazepam 1mg,Psychiatric,Oral,Tablet,Bottle,SUP-8569,Apex Health Supplies,Switzerland,PO-12486,1936,148.86,4.7,0.05,311701.81,201.96,222.16,20,963,194487.48,51135.3,Emergency ICU,Credit Card,973,50,20,0,2025-02-03,2025-03-17,2026-01-08,339,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-101,Cold Vault-1,Aisle-3-R1,BIN-968,Fragile Glass,973,Expired,144840.78,Incineration,Approved
BAT-2026-10221,SKU-559023,205-3399-42,Amoxicillin 500mg,Antibiotic,Oral,Capsule,Blister Pack,SUP-9028,PharmaDist Inc,USA,PO-46039,164,148.65,10.4,0.0,26084.2,217.34,239.07,15,102,22168.68,7006.38,In-Store Pharmacy,Cash,62,200,40,0,2025-06-15,2025-10-11,2025-12-16,184,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-107,Cold Vault-1,Aisle-16-R5,BIN-860,Protect from Light,62,Expired,9216.3,Incineration,Approved
BAT-2026-78146,SKU-184349,302-3842-87,Sertraline 50mg,Psychiatric,Oral,Tablet,Blister Pack,SUP-5813,Nexus BioPharma,UK,PO-36975,1980,25.65,1.8,0.05,56890.35,39.14,43.05,0,1516,59336.24,20450.84,Emergency ICU,Cash,464,50,20,0,2025-01-31,2025-05-09,2026-12-31,699,Room Temperature (15-25°C),15.0,25.0,0,1,Schedule II,1,INS-106,Zone-B,Aisle-13-R3,BIN-148,Standard Handling,0,None,0.0,N/A,N/A
BAT-2026-80575,SKU-727086,256-2234-32,Azithromycin 250mg,Antibiotic,Oral,Tablet,Blister Pack,SUP-7152,GlobalMed Logistics,UK,PO-42150,1962,142.16,4.97,0.18,338874.29,201.11,221.22,0,844,169736.84,49753.8,Hospital Outpatient,Government Health Aid,1118,100,20,0,2025-07-01,2025-10-09,2026-12-02,519,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-111,Cold Vault-2,Aisle-20-R4,BIN-393,Protect from Light,0,None,0.0,N/A,N/A
BAT-2026-97900,SKU-141797,891-9095-69,Ceftriaxone 1g,Antibiotic,Injectable,Vial,Vial Pack,SUP-5813,Nexus BioPharma,India,PO-85963,620,140.9,6.68,0.18,107224.04,207.75,228.53,5,463,96188.25,30951.55,In-Store Pharmacy,Cash,157,50,80,0,2025-03-30,2025-06-19,2026-07-25,482,Cold Chain (2-8°C),2.0,8.0,1,1,Non-Controlled,1,INS-103,Zone-B,Aisle-15-R2,BIN-472,Fragile Glass,157,Expired,22121.3,Incineration,Pending Audit
BAT-2026-35825,SKU-553014,872-8354-97,Atorvastatin 20mg,Cardiovascular,Oral,Tablet,Strip,SUP-8569,Apex Health Supplies,Switzerland,PO-68226,1467,34.44,2.59,0.0,54323.01,46.31,50.94,5,528,24451.68,6267.36,Hospital Outpatient,Cash,939,100,80,0,2024-12-10,2025-02-21,2026-10-06,665,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-108,Zone-A,Aisle-16-R5,BIN-190,Standard Handling,0,None,0.0,N/A,N/A
BAT-2026-57739,SKU-870214,678-6295-90,Paracetamol 650mg,Analgesic,Oral,Tablet,Strip,SUP-0769,BioCare Distribution,Switzerland,PO-21094,1252,190.7,11.88,0.12,282280.93,298.51,328.36,5,854,254927.54,92069.74,Online Fulfillment,Government Health Aid,398,100,20,0,2024-09-25,2025-01-04,2026-01-14,476,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-105,Cold Vault-2,Aisle-9-R3,BIN-712,Standard Handling,398,Expired,75898.6,Incineration,Approved
BAT-2026-66531,SKU-437978,423-3473-66,Metformin 800mg,Antidiabetic,Oral,Tablet,Bottle,SUP-0769,BioCare Distribution,Germany,PO-79932,747,105.56,3.85,0.05,85671.94,149.64,164.6,5,543,81254.52,23935.44,Online Fulfillment,Insurance,204,200,40,0,2025-08-05,2025-10-27,2026-07-01,330,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-101,Cold Vault-2,Aisle-15-R4,BIN-476,Fragile Glass,204,Expired,21534.24,Incineration,Approved
BAT-2026-19171,SKU-733039,169-8682-66,Heparin 5000IU/ml,Anticoagulant,Injectable,Vial,Vial Pack,SUP-7152,GlobalMed Logistics,Switzerland,PO-89541,1595,157.03,10.9,0.05,280371.49,256.66,282.33,20,597,153226.02,59479.11,Emergency ICU,Government Health Aid,998,100,40,0,2025-05-28,2025-07-01,2027-02-19,632,Cold Chain (2-8°C),2.0,8.0,1,1,Non-Controlled,1,INS-112,Zone-B,Aisle-5-R4,BIN-567,Protect from Light,0,None,0.0,N/A,N/A
BAT-2026-97062,SKU-362529,746-5961-45,Albuterol Inhaler,Respiratory,Inhalation,Inhaler,Canister Box,SUP-9028,PharmaDist Inc,USA,PO-51999,1186,144.71,7.28,0.12,200855.27,199.1,219.01,15,530,105523.0,28826.7,Emergency ICU,Credit Card,656,50,20,0,2024-11-16,2025-03-05,2026-04-26,526,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-104,Cold Vault-2,Aisle-18-R3,BIN-940,Keep Refrigerated,656,Expired,94929.76,Incineration,Pending Audit
BAT-2026-53279,SKU-127121,705-1920-55,Heparin 5000IU/ml,Anticoagulant,Injectable,Vial,Vial Pack,SUP-9028,PharmaDist Inc,India,PO-62664,1262,35.06,2.04,0.12,52129.69,46.66,51.33,10,646,30142.36,7493.6,Emergency ICU,Credit Card,616,50,40,0,2025-01-11,2025-04-10,2025-11-02,295,Cold Chain (2-8°C),2.0,8.0,0,1,Non-Controlled,1,INS-104,Cold Vault-1,Aisle-8-R2,BIN-583,Fragile Glass,616,Expired,21596.96,Incineration,Approved
BAT-2026-91678,SKU-195763,619-2215-49,Lisinopril 10mg,Cardiovascular,Oral,Tablet,Bottle,SUP-7152,GlobalMed Logistics,India,PO-87187,1622,27.13,0.74,0.12,50485.72,35.51,39.06,10,1297,46056.47,10868.86,In-Store Pharmacy,Cash,325,200,40,0,2025-03-28,2025-05-11,2027-01-27,670,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-111,Zone-A,Aisle-10-R2,BIN-657,Keep Refrigerated,296,Packaging Defect,8030.48,N/A,Approved
BAT-2026-51145,SKU-340044,572-8404-14,Azithromycin 250mg,Antibiotic,Oral,Tablet,Blister Pack,SUP-5813,Nexus BioPharma,Switzerland,PO-15896,692,156.66,3.42,0.12,123784.41,236.42,260.06,20,485,114663.7,38683.6,Hospital Outpatient,Government Health Aid,207,100,80,0,2025-01-10,2025-02-03,2025-08-19,221,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-112,Cold Vault-2,Aisle-13-R3,BIN-267,Keep Refrigerated,207,Expired,32428.62,Incineration,Approved
BAT-2026-96951,SKU-807053,158-7041-46,Metformin 800mg,Antidiabetic,Oral,Tablet,Bottle,SUP-7152,GlobalMed Logistics,India,PO-74418,491,55.22,2.34,0.05,29617.61,74.7,82.17,15,186,13894.2,3623.28,Emergency ICU,Cash,305,200,20,0,2025-04-16,2025-05-05,2026-03-04,322,Room Temperature (15-25°C),15.0,25.0,1,1,Schedule II,1,INS-105,Zone-A,Aisle-6-R3,BIN-482,Protect from Light,305,Expired,16842.1,Incineration,Approved
BAT-2026-26334,SKU-976566,178-2479-88,Ibuprofen 400mg,Analgesic,Oral,Tablet,Strip,SUP-5813,Nexus BioPharma,USA,PO-13049,1798,177.51,9.88,0.18,394376.56,229.87,252.86,5,1300,298831.0,68068.0,Emergency ICU,Cash,498,100,80,0,2025-04-15,2025-08-02,2026-02-08,299,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-105,Cold Vault-1,Aisle-1-R4,BIN-774,Protect from Light,498,Expired,88399.98,Incineration,Approved
BAT-2026-49363,SKU-703139,708-9307-59,Omeprazole 20mg,Gastrointestinal,Oral,Capsule,Bottle,SUP-7152,GlobalMed Logistics,India,PO-54558,518,154.74,4.74,0.0,82610.64,212.22,233.44,0,183,38836.26,10518.84,Emergency ICU,Government Health Aid,335,50,40,0,2024-12-17,2025-01-19,2026-04-26,495,Room Temperature (15-25°C),15.0,25.0,0,0,Non-Controlled,1,INS-106,Zone-A,Aisle-10-R2,BIN-480,Fragile Glass,335,Expired,51837.9,Incineration,Approved
BAT-2026-76469,SKU-715643,573-1672-67,Ceftriaxone 1g,Antibiotic,Injectable,Vial,Vial Pack,SUP-0769,BioCare Distribution,India,PO-67280,388,7.81,0.56,0.0,3247.56,10.59,11.65,20,221,2340.39,614.38,Online Fulfillment,Credit Card,167,50,80,0,2025-05-15,2025-07-31,2025-12-06,205,Cold Chain (2-8°C),2.0,8.0,0,1,Non-Controlled,1,INS-101,Hazmat Vault,Aisle-2-R4,BIN-843,Protect from Light,167,Expired,1304.27,Incineration,Approved
BAT-2026-50538,SKU-121753,929-4084-51,Heparin 5000IU/ml,Anticoagulant,Injectable,Vial,Vial Pack,SUP-9028,PharmaDist Inc,Germany,PO-33659,478,161.81,8.93,0.12,90895.14,233.73,257.1,20,241,56328.93,17332.72,In-Store Pharmacy,Insurance,237,100,40,0,2024-11-19,2025-02-25,2026-07-03,591,Cold Chain (2-8°C),2.0,8.0,1,1,Non-Controlled,1,INS-106,Hazmat Vault,Aisle-14-R5,BIN-664,Keep Refrigerated,237,Expired,38348.97,Incineration,Approved
BAT-2026-97410,SKU-901909,719-8792-74,Heparin 5000IU/ml,Anticoagulant,Injectable,Vial,Vial Pack,SUP-5813,Nexus BioPharma,Switzerland,PO-64386,1896,55.85,2.29,0.18,129293.93,79.39,87.33,5,1584,125753.76,37287.36,Online Fulfillment,Insurance,312,50,40,0,2025-08-26,2025-09-12,2026-10-05,405,Cold Chain (2-8°C),2.0,8.0,0,0,Non-Controlled,1,INS-107,Hazmat Vault,Aisle-8-R4,BIN-653,Standard Handling,0,None,0.0,N/A,N/A
BAT-2026-63528,SKU-804938,254-2013-67,Ibuprofen 400mg,Analgesic,Oral,Tablet,Strip,SUP-0769,BioCare Distribution,UK,PO-13153,1613,14.65,0.44,0.05,25521.69,19.27,21.2,20,1171,22565.17,5410.02,Hospital Outpatient,Cash,442,50,40,0,2025-01-15,2025-03-31,2026-10-13,636,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-107,Zone-B,Aisle-5-R3,BIN-249,Standard Handling,0,None,0.0,N/A,N/A
BAT-2026-52753,SKU-961322,205-6626-20,Omeprazole 20mg,Gastrointestinal,Oral,Capsule,Bottle,SUP-8569,Apex Health Supplies,USA,PO-79193,330,143.04,10.54,0.05,53041.56,240.54,264.59,10,278,66870.12,27105.0,Hospital Outpatient,Insurance,52,100,40,0,2025-02-15,2025-05-20,2026-08-14,545,Room Temperature (15-25°C),15.0,25.0,0,1,Schedule IV,1,INS-106,Zone-A,Aisle-7-R4,BIN-428,Standard Handling,52,Expired,7438.08,Incineration,Approved
BAT-2026-62743,SKU-382602,616-3827-15,Insulin Glargine 100IU/ml,Antidiabetic,Injectable,Vial,Carton Box,SUP-5813,Nexus BioPharma,India,PO-51599,1117,116.18,7.54,0.0,138195.24,153.04,168.34,5,403,61675.12,14854.58,Hospital Outpatient,Insurance,714,100,40,0,2025-10-10,2025-10-30,2026-07-11,274,Cold Chain (2-8°C),2.0,8.0,0,1,Non-Controlled,1,INS-109,Cold Vault-1,Aisle-14-R4,BIN-852,Fragile Glass,714,Expired,82952.52,Incineration,Approved
BAT-2026-48752,SKU-704238,353-8172-66,Atorvastatin 20mg,Cardiovascular,Oral,Tablet,Strip,SUP-9028,PharmaDist Inc,UK,PO-60070,140,17.26,1.06,0.12,2854.77,27.83,30.61,10,118,3283.94,1247.26,Hospital Outpatient,Credit Card,22,100,80,0,2025-04-26,2025-06-11,2026-09-22,514,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-109,Cold Vault-1,Aisle-15-R4,BIN-754,Fragile Glass,0,None,0.0,N/A,N/A
BAT-2026-82667,SKU-142185,636-9564-88,Insulin Glargine 100IU/ml,Antidiabetic,Injectable,Vial,Carton Box,SUP-8569,Apex Health Supplies,Switzerland,PO-43708,1151,92.13,3.42,0.18,129065.54,122.48,134.73,5,828,101413.44,25129.8,Online Fulfillment,Cash,323,100,40,0,2025-05-06,2025-08-18,2025-12-28,236,Cold Chain (2-8°C),2.0,8.0,0,1,Non-Controlled,1,INS-112,Zone-B,Aisle-15-R4,BIN-455,Standard Handling,323,Expired,29757.99,Incineration,Approved
BAT-2026-26683,SKU-900177,262-6962-57,Metformin 800mg,Antidiabetic,Oral,Tablet,Bottle,SUP-5813,Nexus BioPharma,UK,PO-21930,234,73.3,3.17,0.0,17893.98,108.1,118.91,0,112,12107.2,3897.6,In-Store Pharmacy,Insurance,122,100,80,0,2024-10-28,2025-02-03,2025-11-11,379,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-104,Zone-B,Aisle-15-R3,BIN-516,Standard Handling,122,Expired,8942.6,Incineration,Approved
BAT-2026-35144,SKU-893005,389-7347-62,Lisinopril 10mg,Cardiovascular,Oral,Tablet,Bottle,SUP-7152,GlobalMed Logistics,UK,PO-25026,300,100.92,3.0,0.18,36625.68,171.36,188.5,10,170,29131.2,11974.8,In-Store Pharmacy,Cash,130,100,40,0,2025-03-26,2025-04-26,2027-03-15,719,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-104,Zone-B,Aisle-11-R3,BIN-278,Keep Refrigerated,0,None,0.0,N/A,N/A
BAT-2026-65108,SKU-283700,893-6543-96,Propofol 10mg/ml,Anesthetic,Injectable,Ampoule,Ampoule Box,SUP-0769,BioCare Distribution,Switzerland,PO-23019,1963,114.24,6.21,0.12,263353.72,186.47,205.12,5,1779,331730.13,128497.17,Hospital Outpatient,Government Health Aid,184,200,20,0,2025-04-08,2025-04-24,2026-05-20,407,Cold Chain (2-8°C),2.0,8.0,1,1,Non-Controlled,1,INS-110,Hazmat Vault,Aisle-13-R2,BIN-694,Standard Handling,184,Expired,21020.16,Incineration,Approved
BAT-2026-97153,SKU-593355,712-1857-90,Propofol 10mg/ml,Anesthetic,Injectable,Ampoule,Ampoule Box,SUP-5813,Nexus BioPharma,India,PO-81012,879,74.8,5.83,0.12,78763.67,110.9,121.99,20,357,39591.3,12887.7,In-Store Pharmacy,Cash,522,100,20,0,2025-01-09,2025-02-15,2026-04-18,464,Cold Chain (2-8°C),2.0,8.0,1,0,Schedule II,1,INS-109,Zone-A,Aisle-17-R2,BIN-511,Protect from Light,522,Expired,39045.6,Incineration,Approved
BAT-2026-59695,SKU-644173,762-6482-18,Atorvastatin 20mg,Cardiovascular,Oral,Tablet,Strip,SUP-7152,GlobalMed Logistics,USA,PO-32040,1029,52.51,3.75,0.0,57891.54,82.66,90.93,20,545,45049.7,16431.75,In-Store Pharmacy,Insurance,484,200,40,0,2025-03-07,2025-06-10,2026-03-22,380,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-108,Cold Vault-1,Aisle-8-R2,BIN-481,Keep Refrigerated,484,Expired,25414.84,Incineration,Approved
BAT-2026-98777,SKU-783157,437-2548-81,Lisinopril 10mg,Cardiovascular,Oral,Tablet,Bottle,SUP-0769,BioCare Distribution,India,PO-47401,1156,22.38,1.32,0.12,30501.75,35.88,39.47,15,975,34983.0,13162.5,In-Store Pharmacy,Cash,181,200,40,0,2025-02-06,2025-02-27,2025-08-28,203,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-105,Cold Vault-2,Aisle-7-R5,BIN-578,Protect from Light,181,Expired,4050.78,Incineration,Approved
BAT-2026-32810,SKU-563711,794-7333-46,Albuterol Inhaler,Respiratory,Inhalation,Inhaler,Canister Box,SUP-9028,PharmaDist Inc,USA,PO-28878,1171,115.63,7.01,0.18,167983.93,160.15,176.17,5,764,122354.6,34013.28,Online Fulfillment,Cash,407,100,40,0,2025-06-11,2025-08-04,2026-03-03,265,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-102,Cold Vault-1,Aisle-7-R5,BIN-455,Fragile Glass,407,Expired,47061.41,Incineration,Approved
BAT-2026-90676,SKU-391668,358-3463-52,Ceftriaxone 1g,Antibiotic,Injectable,Vial,Vial Pack,SUP-7152,GlobalMed Logistics,Germany,PO-33942,602,145.11,5.25,0.18,106240.84,218.09,239.9,0,274,59756.66,19996.52,Online Fulfillment,Insurance,328,50,20,0,2025-05-08,2025-09-05,2027-02-03,636,Cold Chain (2-8°C),2.0,8.0,1,1,Non-Controlled,1,INS-102,Cold Vault-2,Aisle-12-R4,BIN-885,Fragile Glass,0,None,0.0,N/A,N/A
BAT-2026-84593,SKU-290305,183-3317-54,Heparin 5000IU/ml,Anticoagulant,Injectable,Vial,Vial Pack,SUP-5813,Nexus BioPharma,India,PO-43496,506,47.22,2.1,0.0,24955.92,71.09,78.2,15,321,22819.89,7662.27,Hospital Outpatient,Government Health Aid,185,200,80,0,2025-06-30,2025-10-24,2026-03-26,269,Cold Chain (2-8°C),2.0,8.0,1,1,Schedule IV,1,INS-104,Zone-B,Aisle-18-R4,BIN-399,Keep Refrigerated,185,Expired,8735.7,Incineration,Pending Audit
BAT-2026-49446,SKU-713762,417-7421-26,Albuterol Inhaler,Respiratory,Inhalation,Inhaler,Canister Box,SUP-8569,Apex Health Supplies,India,PO-21747,1697,102.75,2.18,0.12,198990.22,146.86,161.55,20,1036,152146.96,45697.96,Emergency ICU,Government Health Aid,661,50,80,0,2025-01-16,2025-02-12,2026-12-21,704,Room Temperature (15-25°C),15.0,25.0,0,0,Non-Controlled,1,INS-103,Zone-A,Aisle-12-R3,BIN-251,Standard Handling,0,None,0.0,N/A,N/A
BAT-2026-63225,SKU-557058,709-2388-49,Ceftriaxone 1g,Antibiotic,Injectable,Vial,Vial Pack,SUP-7152,GlobalMed Logistics,Switzerland,PO-30214,1851,10.72,0.72,0.05,22167.58,16.73,18.4,0,1625,27186.25,9766.25,Emergency ICU,Cash,226,100,20,0,2025-01-14,2025-03-28,2026-08-20,583,Cold Chain (2-8°C),2.0,8.0,0,1,Non-Controlled,1,INS-106,Zone-B,Aisle-7-R4,BIN-933,Protect from Light,226,Expired,2422.72,Incineration,Approved
BAT-2026-81819,SKU-765620,672-7171-92,Azithromycin 250mg,Antibiotic,Oral,Tablet,Blister Pack,SUP-5813,Nexus BioPharma,USA,PO-50212,904,172.86,11.42,0.12,185340.97,220.75,242.83,5,327,72185.25,15660.03,Emergency ICU,Credit Card,577,100,80,0,2025-07-04,2025-10-05,2026-07-18,379,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,0,INS-112,Zone-B,Aisle-5-R4,BIN-788,Keep Refrigerated,577,Expired,99740.22,Incineration,Approved
BAT-2026-10053,SKU-953797,910-6381-26,Metformin 800mg,Antidiabetic,Oral,Tablet,Bottle,SUP-8569,Apex Health Supplies,Germany,PO-63382,198,50.42,1.04,0.0,10189.08,81.49,89.64,20,97,7904.53,3013.79,Hospital Outpatient,Credit Card,101,200,40,0,2024-12-28,2025-02-02,2026-11-10,682,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-108,Cold Vault-2,Aisle-4-R5,BIN-869,Keep Refrigerated,0,None,0.0,N/A,N/A
BAT-2026-49829,SKU-615611,786-9624-21,Insulin Glargine 100IU/ml,Antidiabetic,Injectable,Vial,Carton Box,SUP-0769,BioCare Distribution,India,PO-98946,783,95.41,7.13,0.0,80288.82,139.72,153.69,15,510,71257.2,22598.1,Hospital Outpatient,Government Health Aid,273,100,40,0,2024-11-02,2025-01-31,2026-03-22,505,Cold Chain (2-8°C),2.0,8.0,0,1,Non-Controlled,1,INS-112,Cold Vault-1,Aisle-15-R3,BIN-606,Fragile Glass,273,Expired,26046.93,Incineration,Approved
BAT-2026-47606,SKU-195674,761-7937-75,Propofol 10mg/ml,Anesthetic,Injectable,Ampoule,Ampoule Box,SUP-0769,BioCare Distribution,USA,PO-32176,1995,77.83,4.58,0.05,172171.49,119.35,131.28,20,1077,128539.95,44717.04,Online Fulfillment,Government Health Aid,918,200,40,0,2025-03-17,2025-04-09,2027-02-18,703,Cold Chain (2-8°C),2.0,8.0,0,1,Non-Controlled,1,INS-110,Cold Vault-1,Aisle-20-R4,BIN-791,Fragile Glass,0,None,0.0,N/A,N/A
BAT-2026-37549,SKU-592841,470-1298-56,Omeprazole 20mg,Gastrointestinal,Oral,Capsule,Bottle,SUP-9028,PharmaDist Inc,Switzerland,PO-17721,825,31.72,1.78,0.0,27637.5,46.07,50.68,10,473,21791.11,6787.55,Online Fulfillment,Government Health Aid,352,200,80,0,2025-02-20,2025-06-19,2025-10-15,237,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-108,Cold Vault-2,Aisle-2-R2,BIN-655,Keep Refrigerated,352,Expired,11165.44,Incineration,Approved
BAT-2026-66346,SKU-464863,416-3953-37,Paracetamol 650mg,Analgesic,Oral,Tablet,Strip,SUP-0769,BioCare Distribution,USA,PO-90540,1670,186.37,3.82,0.0,317617.3,261.03,287.13,15,733,191334.99,54725.78,Hospital Outpatient,Credit Card,937,100,80,0,2024-10-25,2025-02-21,2026-04-27,549,Room Temperature (15-25°C),15.0,25.0,1,0,Non-Controlled,1,INS-101,Cold Vault-1,Aisle-7-R3,BIN-517,Standard Handling,937,Expired,174628.69,Incineration,Approved
BAT-2026-86019,SKU-528184,449-8967-34,Sertraline 50mg,Psychiatric,Oral,Tablet,Blister Pack,SUP-0769,BioCare Distribution,Germany,PO-52636,1060,171.78,6.04,0.05,197593.54,242.63,266.89,20,580,140725.4,41093.0,In-Store Pharmacy,Government Health Aid,480,200,80,0,2025-09-16,2025-10-14,2027-04-26,587,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-111,Zone-B,Aisle-18-R2,BIN-468,Fragile Glass,187,Packaging Defect,32122.86,N/A,Pending Audit
BAT-2026-89516,SKU-449499,331-3253-29,Amoxicillin 500mg,Antibiotic,Oral,Capsule,Blister Pack,SUP-0769,BioCare Distribution,UK,PO-33784,1862,111.47,7.61,0.05,232104.82,167.45,184.19,15,1025,171636.25,57379.5,Emergency ICU,Government Health Aid,837,200,40,0,2025-03-21,2025-04-19,2026-02-15,331,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-107,Cold Vault-1,Aisle-13-R5,BIN-542,Standard Handling,837,Expired,93300.39,Incineration,Approved
BAT-2026-95813,SKU-436653,179-5846-22,Lorazepam 1mg,Psychiatric,Oral,Tablet,Bottle,SUP-9028,PharmaDist Inc,Switzerland,PO-13561,712,182.96,7.01,0.18,158706.79,305.42,335.96,5,502,153320.84,61474.92,Hospital Outpatient,Credit Card,210,50,80,0,2025-06-17,2025-09-03,2027-02-24,617,Room Temperature (15-25°C),15.0,25.0,1,1,Schedule IV,1,INS-112,Hazmat Vault,Aisle-14-R2,BIN-188,Keep Refrigerated,0,None,0.0,N/A,N/A
BAT-2026-52237,SKU-802685,619-9843-77,Paracetamol 650mg,Analgesic,Oral,Tablet,Strip,SUP-9028,PharmaDist Inc,Switzerland,PO-17667,1585,148.65,11.6,0.0,253996.25,203.05,223.36,10,768,155942.4,41779.2,Online Fulfillment,Credit Card,817,100,40,0,2025-03-29,2025-06-28,2026-10-08,558,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-112,Cold Vault-1,Aisle-15-R1,BIN-716,Protect from Light,0,None,0.0,N/A,N/A
BAT-2026-70946,SKU-209680,138-6517-89,Insulin Glargine 100IU/ml,Antidiabetic,Injectable,Vial,Carton Box,SUP-0769,BioCare Distribution,Switzerland,PO-49062,742,85.04,4.98,0.05,69949.82,107.06,117.77,10,673,72051.38,14819.46,In-Store Pharmacy,Insurance,69,50,80,0,2025-01-12,2025-05-09,2026-08-10,575,Cold Chain (2-8°C),2.0,8.0,0,1,Non-Controlled,1,INS-108,Cold Vault-2,Aisle-7-R4,BIN-359,Keep Refrigerated,69,Expired,5867.76,Incineration,Approved
BAT-2026-67905,SKU-999398,234-7172-29,Ibuprofen 400mg,Analgesic,Oral,Tablet,Strip,SUP-0769,BioCare Distribution,UK,PO-61110,1892,65.72,2.99,0.18,152380.92,85.74,94.31,20,1202,103059.48,24064.04,Hospital Outpatient,Insurance,690,200,80,0,2025-07-27,2025-10-28,2027-02-08,561,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,0,INS-104,Zone-A,Aisle-19-R2,BIN-240,Standard Handling,0,None,0.0,N/A,N/A
BAT-2026-67954,SKU-268637,266-3962-98,Insulin Glargine 100IU/ml,Antidiabetic,Injectable,Vial,Carton Box,SUP-0769,BioCare Distribution,Germany,PO-22942,1128,84.42,3.6,0.0,99286.56,138.48,152.33,15,916,126847.68,49518.96,Hospital Outpatient,Cash,212,200,20,0,2024-12-18,2025-01-30,2025-06-28,192,Cold Chain (2-8°C),2.0,8.0,0,1,Non-Controlled,1,INS-105,Hazmat Vault,Aisle-9-R5,BIN-440,Standard Handling,212,Expired,17897.04,Incineration,Approved
BAT-2026-98555,SKU-445824,889-3712-66,Sertraline 50mg,Psychiatric,Oral,Tablet,Blister Pack,SUP-7152,GlobalMed Logistics,Switzerland,PO-51948,1341,144.62,5.92,0.05,211570.91,243.45,267.8,15,947,230547.15,93592.01,Emergency ICU,Government Health Aid,394,100,20,0,2025-09-15,2025-10-08,2026-12-30,471,Room Temperature (15-25°C),15.0,25.0,0,1,Schedule IV,1,INS-110,Cold Vault-2,Aisle-5-R4,BIN-467,Protect from Light,0,None,0.0,N/A,N/A
BAT-2026-38010,SKU-531641,144-7731-56,Ibuprofen 400mg,Analgesic,Oral,Tablet,Strip,SUP-9028,PharmaDist Inc,USA,PO-28672,602,55.71,1.96,0.0,34717.34,74.63,82.09,15,512,38210.56,9687.04,Online Fulfillment,Insurance,90,200,20,0,2024-10-06,2025-01-31,2026-03-23,533,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-110,Cold Vault-2,Aisle-19-R2,BIN-760,Fragile Glass,90,Expired,5013.9,Incineration,Approved
BAT-2026-77000,SKU-827369,792-4891-66,Ceftriaxone 1g,Antibiotic,Injectable,Vial,Vial Pack,SUP-9028,PharmaDist Inc,Germany,PO-64109,866,17.42,0.84,0.18,18528.59,26.29,28.92,10,742,19507.18,6581.54,Online Fulfillment,Insurance,124,200,20,0,2025-04-12,2025-05-22,2026-10-03,539,Cold Chain (2-8°C),2.0,8.0,1,1,Non-Controlled,0,INS-107,Hazmat Vault,Aisle-5-R4,BIN-577,Standard Handling,0,None,0.0,N/A,N/A
